"Abbrev","Full Title","Trnsl. Title","Publ.","Relat. Jrl.","ISSN","New","High Density","Book Ser","Video Ser","Bibl. Jrl."
"Phys. A","Physica A. Statistical Mechanics and its Applications","","Elsevier B. V., Amsterdam.","","0378-4371","N","N","N","N","N"
"Phys. D","Physica D. Nonlinear Phenomena","","Elsevier Sci. B. V., Amsterdam.","","0167-2789","N","N","N","N","N"
"Phys. Lett. A","Physics Letters. A","","Elsevier B. V., Amsterdam.","","0375-9601","N","N","N","N","N"
"Phys. Lett. B","Physics Letters. B","","Elsevier B. V., Amsterdam.","","0370-2693","N","N","N","N","N"
"Phys. Perspect.","Physics in Perspective","","Birkhauser, Basel.","","1422-6944","N","N","N","N","N"
"Phys. Rep.","Physics Reports. A Review Section of Physics Letters","","Elsevier Sci. B. V., Amsterdam.","","0370-1573","N","N","N","N","N"
"Phys. Rep. Kumamoto Univ.","Physics Reports of Kumamoto University","","Kumamoto Univ., Dept. Phys., Kumamoto.","","0303-4070","N","N","N","N","N"
"Phys. Rev. A (3)","Physical Review. A. Third Series","","Amer. Phys. Soc., College Park, MD.","","1050-2947","N","N","N","N","N"
"Phys. Rev. D","Physical Review D. Particles, Fields, Gravitation, and Cosmology","","Amer. Phys. Soc., College Park, MD.","","1550-7998","N","N","N","N","N"
"Phys. Rev. E (3)","Physical Review E. Statistical, Nonlinear, and Soft Matter Physics","","Amer. Phys. Soc., College Park, MD.","","1539-3755","N","N","N","N","N"
"Phys. Rev. Lett.","Physical Review Letters","","Amer. Phys. Soc., College Park, MD.","","0031-9007","N","N","N","N","N"
"Physis Riv. Internaz. Storia Sci. (N.S.)","Physis---Rivista Internazionale di Storia della Scienza. Nuova Serie","","Olschki, Florence.","","0031-9414","N","N","N","N","N"
"Pliska Stud. Math. Bulgar.","Pliska Studia Mathematica Bulgarica","","Bulgarian Acad. Sci., Sofia.","","0204-9805","N","Y","N","N","N"
"PLoS Comput. Biol.","PLoS Computational Biology","","Public Libr. Sci. (PLoS), San Francisco, CA.","","1553-734X","N","N","N","N","N"
"PMC Phys. A","PMC Physics A","","BioMed Central, Ltd., London.","","1754-0410","N","N","N","N","N"
"Podiplomski Sem. Mat.","Podiplomski Seminar iz Matematike","Graduate Seminar in Mathematics","DMFA - Zaloznistvo, Ljubljana.","","1408-063X","N","N","Y","N","N"
"Politehn. Univ. Bucharest Sci. Bull. Ser. A Appl. Math. Phys.","``Politehnica'' University of Bucharest. Scientific Bulletin. Series A. Applied Mathematics and Physics","","``Politeh.'' Univ. Buchar., Bucharest.","","1223-7027","N","N","N","N","N"
"Port. Math.","Portugaliae Mathematica. A Journal of the Portuguese Mathematical Society","","Eur. Math. Soc., Zurich.","","0032-5155","N","Y","N","N","N"
"Posebna Izdan.","Posebna Izdanja","Special Editions","Mat. Inst. SANU, Belgrade.","","","N","N","Y","N","N"
"Positivity","Positivity. An International Mathematics Journal Devoted to Theory and Applications of Positivity","","Birkhauser, Basel.","","1385-1292","N","Y","N","N","N"
"Potential Anal.","Potential Analysis. An International Journal Devoted to the Interactions between Potential Theory, Probability Theory, Geometry and Functional Analysis","","Springer, Dordrecht.","","0926-2601","N","Y","N","N","N"
"Poznan Stud. Philos. Sci. Humanities","Poznan Studies in the Philosophy of the Sciences and the Humanities","","Rodopi, Amsterdam.","","0303-8157","N","N","Y","N","N"
"Pr. Inst. Mat. Nats. Akad. Nauk Ukr. Mat. Zastos.","Pratsi Institutu Matematiki Natsionalnoi Akademii Nauk Ukraini. Matematika ta ii Zastosuvannya","Proceedings of Institute of Mathematics of NAS of Ukraine. Mathematics and its Applications","Natsional. Akad. Nauk Ukraini, Inst. Mat., Kiev.","","","N","N","Y","N","N"
"Pr. Nauk. Akad. Jana Dlugosza Czest. Mat.","Prace Naukowe. Akademia im. Jana Dlugosza w Czestochowie. Matematyka","","Wydaw. Akad. Jana Dlugosza Czest., Czestochowa.","","1896-0286","N","N","N","N","N"
"Prace Nauk. Inst. Inform. Autom. Robot. Politech. Wroc.","Prace Naukowe Instytutu Informatyki, Automatyki i Robotyki Politechniki Wroclawskiej","Scientific Papers of the Institute of Computer Engineering, Control and Robotics of the Wroclaw University of Technology","Oficyna Wydawn. Politech. Wroclaw., Wroclaw.","See also Monografie (Wroclaw)","0324-9786","N","N","Y","N","N"
"Prace Nauk. Inst. Mat. Inform. Politech. Wroc.","Prace Naukowe Instytutu Matematyki i Informatyki Politechniki Wroclawskiej","Scientific Papers of the Institute of Mathematics and Informatics of Wroclaw University of Technology","Oficyna Wydawn. Politech. Wroclaw., Wroclaw.","See also Konferencje","","N","N","Y","N","N"
"Prace Nauk. Inst. Mat. Politech. Wroclaw. Ser. Konfer.","Politechnika Wroclawska. Instytut Matematyki. Prace Naukowe. Seria Konferencje","","Wydawn. Politech. Wroclaw., Wroclaw.","","0137-6268","N","N","N","N","N"
"Pract. Guides Biostat. Epidemiol.","Practical Guides to Biostatistics and Epidemiology","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Prikl. Gidromekh.","Prikladna Gidromekhanika. Prikladnaya Gidromekhanika. Applied Hydromechanics","","Nats. Akad. Nauk Ukr. Inst. Gidromekh., Kiev.","","1561-9087","N","N","N","N","N"
"Prikl. Mat. Mekh.","Rossiiskaya Akademiya Nauk. Prikladnaya Matematika i Mekhanika","","``Nauka'', Moscow.","Translated in J. Appl. Math. Mech.","0032-8235","N","N","N","N","N"
"Prikl. Mekh.","Natsionalnaya Akademiya Nauk Ukrainy. Institut Mekhaniki im. S. P. Timoshenko. Mezhdunarodnyi Nauchnyi Zhurnal. Prikladnaya Mekhanika. International Applied Mechanics","","Nats. Akad. Nauk Ukrainy, Inst. Mekh. im. S. P. Timoshenko, Kiev.","Translated in Internat. Appl. Mech.","0032-8243","N","N","N","N","N"
"Prikl. Mekh. Tekhn. Fiz.","Rossiiskaya Akademiya Nauk. Sibirskoe Otdelenie. Prikladnaya Mekhanika i Tekhnicheskaya Fizika","","Izdat. Ross. Akad. Nauk Sibirsk. Otdel., Novosibirsk.","Translated in J. Appl. Mech. Tech. Phys.","0869-5032","N","N","N","N","N"
"Princet. Found. Contemp. Philos.","Princeton Foundations of Contemporary Philosophy","","Princeton Univ. Press, Princeton, NJ.","","","Y","N","Y","N","N"
"Princet. Ser. Financ. Eng.","Princeton Series in Financial Engineering","","Princeton Univ. Press, Princeton, NJ.","","","N","N","Y","N","N"
"Princeton Math. Ser.","Princeton Mathematical Series","","Princeton Univ. Press, Princeton, NJ.","","","N","N","Y","N","N"
"Princeton Sci. Lib.","Princeton Science Library","","Princeton Univ. Press, Princeton, NJ.","","","N","N","Y","N","N"
"Princeton Ser. Appl. Math.","Princeton Series in Applied Mathematics","","Princeton Univ. Press, Princeton, NJ.","","","N","N","Y","N","N"
"Princeton Ser. Theor. Comput. Biol.","Princeton Series in Theoretical and Computational Biology","","Princeton Univ. Press, Princeton, NJ.","","","N","N","Y","N","N"
"Probab. Appl. (N. Y.)","Probability and its Applications (New York)","","Springer, New York.","","1431-7028","N","N","Y","N","N"
"Probab. Engrg. Inform. Sci.","Probability in the Engineering and Informational Sciences","","Cambridge Univ. Press, New York.","","0269-9648","N","Y","N","N","N"
"Probab. Math. Statist.","Probability and Mathematical Statistics","","Wydawn. Uniw. Wroclaw., Wroclaw.","","0208-4147","N","Y","N","N","N"
"Probab. Surv.","Probability Surveys","","Inst. Math. Statist., Beachwood, OH.","","1549-5787","N","Y","N","N","N"
"Probab. Theory Related Fields","Probability Theory and Related Fields","","Springer, Berlin.","","0178-8051","N","Y","N","N","N"
"Probl. Inf. Transm.","Problems of Information Transmission","","Pleiades Publishing, Ltd., Wilmington, DE.","Translation of Problemy Peredachi Informatsii","0032-9460","N","N","N","N","N"
"Probl. Program.","Problemy Programmirovaniya. Problems in Programming","","Nats. Akad. Nauk Ukrainy, Inst. Program. Sist., Kiev.","","1727-4907","N","N","N","N","N"
"Problem Books in Math.","Problem Books in Mathematics","","Springer, New York.","","0941-3502","N","N","Y","N","N"
"Problemi Tekhn. Kibernet. Robot.","Problemi na Tekhnicheskata Kibernetika i Robotikata. Problems of Engineering Cybernetics and Robotics","","Akad. Izd. ``M. Drinov'', Sofia.","","0204-9848","N","N","N","N","N"
"Problemy Peredachi Informatsii","Rossiiskaya Akademiya Nauk. Problemy Peredachi Informatsii","","``Nauka'', Moscow.","Translated in Probl. Inf. Transm.","0555-2923","N","N","N","N","N"
"Problemy Upravlen. Inform.","Natsionalnaya Akademiya Nauk Ukrainy. Problemy Upravleniya i Informatiki","","Nats. Akad. Nauk Ukr. Inst. Kibern. im. V. M. Glushkova, Kiev.","","0572-2691","N","N","N","N","N"
"ProbStat Forum","ProbStat Forum","","ProbStat Forum, Trichur.","","0974-3235","N","N","N","N","N"
"Proc. A. Razmadze Math. Inst.","Georgian Academy of Sciences. Proceedings of A. Razmadze Mathematical Institute","","Publ. House GCI, Tbilisi.","","1512-0007","N","Y","N","N","N"
"Proc. Amer. Math. Soc.","Proceedings of the American Mathematical Society","","Amer. Math. Soc., Providence, RI.","","0002-9939","N","Y","N","N","N"
"Proc. Centre Math. Appl. Austral. Nat. Univ.","Proceedings of the Centre for Mathematics and its Applications, Australian National University","","Austral. Nat. Univ., Canberra.","","","N","N","Y","N","N"
"Proc. Colloq. Qual. Theory Differ. Equ.","Proceedings of the Colloquiums on the Qualitative Theory of Differential Equations","","Electron. J. Qual. Theory Differ. Equ., Szeged.","","","N","N","Y","N","N"
"Proc. Edinb. Math. Soc. (2)","Proceedings of the Edinburgh Mathematical Society. Series II","","Cambridge Univ. Press, Cambridge.","","0013-0915","N","Y","N","N","N"
"Proc. Est. Acad. Sci.","Proceedings of the Estonian Academy of Sciences","","Est. Acad. Publ., Tallinn.","","1736-6046","N","N","N","N","N"
"Proc. I. Vekua Inst. Appl. Math.","Proceedings of I. Vekua Institute of Applied Mathematics. Trudy Instituta Prikladnoi Matmematiki imeni I. N. Vekua","","Tbilisi Univ. Press, Tbilisi.","","1512-004X","N","N","N","N","N"
"Proc. Indian Acad. Sci. Math. Sci.","Indian Academy of Sciences. Proceedings. Mathematical Sciences","","Indian Acad. Sci., Bangalore.","","0253-4142","N","N","N","N","N"
"Proc. Indian Nat. Sci. Acad.","Proceedings of the Indian National Science Academy","","Indian Nat. Sci. Acad., New Delhi.","","0370-0046","N","N","N","N","N"
"Proc. Inst. Math. Mech. Natl. Acad. Sci. Azerb.","Proceedings of Institute of Mathematics and Mechanics. National Academy of Sciences of Azerbaijan","","``Elm'', Baku.","","","N","N","N","N","N"
"Proc. Inst. Statist. Math.","Proceedings of the Institute of Statistical Mathematics","","Inst. Statist. Math., Tokyo.","","0912-6112","N","N","N","N","N"
"Proc. Internat. School Phys. Enrico Fermi","Proceedings of the International School of Physics ``Enrico Fermi''","","IOS, Amsterdam.","","0074-784X","N","N","Y","N","N"
"Proc. Jangjeon Math. Soc.","Proceedings of the Jangjeon Mathematical Society","","Jangjeon Math. Soc., Hapcheon.","","1598-7264","N","Y","N","N","N"
"Proc. Japan Acad. Ser. A Math. Sci.","Japan Academy. Proceedings. Series A. Mathematical Sciences","","Japan Acad., Tokyo.","","0386-2194","N","Y","N","N","N"
"Proc. Latv. Acad. Sci. Sect. B Nat. Exact Appl. Sci.","Proceedings of the Latvian Academy of Sciences. Section B: Natural, Exact and Applied Sciences","","Latv. Acad. Sci., Riga.","","1407-009X","N","N","N","N","N"
"Proc. Lond. Math. Soc. (3)","Proceedings of the London Mathematical Society. Third Series","","London Math. Soc., London.","","0024-6115","N","Y","N","N","N"
"Proc. Math. Phys. Soc. Egypt","Proceedings of the Mathematical and Physical Society of Egypt","","Nat. Inform. Documentation Centre, Cairo.","","1110-0613","N","N","N","N","N"
"Proc. Nat. Acad. Sci. India Sect. A","Proceedings of the National Academy of Sciences, India. Section A. Physical Sciences","","Nat. Acad. Sci., Allahabad.","","0369-8203","N","N","N","N","N"
"Proc. Natl. Acad. Sci. USA","Proceedings of the National Academy of Sciences of the United States of America","","Nat. Acad. Sci., Washington, DC.","","1091-6490","N","N","N","N","N"
"Proc. Pakistan Acad. Sci.","Proceedings of the Pakistan Academy of Sciences","","Pakistan Acad. Sci., Islamabad.","","0377-2969","N","N","N","N","N"
"Proc. R. Soc. Lond. Ser. A Math. Phys. Eng. Sci.","Proceedings of The Royal Society of London. Series A. Mathematical, Physical and Engineering Sciences","","Roy. Soc. London, London.","","1364-5021","N","N","N","N","N"
"Proc. Rom. Acad. Ser. A Math. Phys. Tech. Sci. Inf. Sci.","Proceedings of the Romanian Academy. Series A. Mathematics, Physics, Technical Sciences, Information Science","","Ed. Acad. Romane, Bucharest.","","1454-9069","N","N","N","N","N"
"Proc. Roy. Soc. Edinburgh Sect. A","Proceedings of the Royal Society of Edinburgh. Section A. Mathematics","","Royal Soc. Edinburgh, Edinburgh.","","0308-2105","N","Y","N","N","N"
"Proc. Sch. Sci. Tokai Univ.","Proceedings of the School of Science of Tokai University","","Tokai Univ., Kanagawa-ken.","","0919-5025","N","N","N","N","N"
"Proc. Steklov Inst. Math.","Proceedings of the Steklov Institute of Mathematics","","MAIK Nauka/Interperiod. Publ., Moscow.","Partial translation of Tr. Mat. Inst. Steklova","0081-5438","N","N","N","N","N"
"Proc. Sympos. Appl. Math.","Proceedings of Symposia in Applied Mathematics","","Amer. Math. Soc., Providence, RI.","See also AMS Short Course Lecture Notes","0160-7634","N","N","Y","N","N"
"Proc. Sympos. Pure Math.","Proceedings of Symposia in Pure Mathematics","","Amer. Math. Soc., Providence, RI.","","0082-0717","N","N","Y","N","N"
"Prog. Comput. Fluid Dyn.","Progress in Computational Fluid Dynamics. An International Journal","","Indersci. Enterp. Ltd., Geneva.","","1468-4349","N","N","N","N","N"
"Prog. Math. Phys.","Progress in Mathematical Physics","","Birkhauser Verlag, Basel.","","","N","N","Y","N","N"
"Prog. Phys.","Progress in Physics","","Univ. New Mexico, Gallup, NM.","","1555-5534","N","N","N","N","N"
"Progr. Comput. Sci. Appl. Logic","Progress in Computer Science and Applied Logic","","Birkhauser Boston, Boston, MA.","","","N","N","Y","N","N"
"Progr. Math.","Progress in Mathematics","","Birkhauser/Springer Basel AG, Basel.","","","N","N","Y","N","N"
"Progr. Math. (Varanasi)","Progress of Mathematics","","Acad. Prog. Math., Varanasi.","","","N","N","N","N","N"
"Progr. Nonlinear Differential Equations Appl.","Progress in Nonlinear Differential Equations and their Applications","","Birkhauser Boston, Inc., Boston, MA.","","","N","N","Y","N","N"
"Progr. Probab.","Progress in Probability","","Birkhauser Boston, Boston, MA.","","","N","N","Y","N","N"
"Progr. Theoret. Phys.","Progress of Theoretical Physics","","Progr. Theoret. Phys., Kyoto.","","0033-068X","N","N","N","N","N"
"Progr. Theoret. Phys. Suppl.","Progress of Theoretical Physics. Supplement","","Progr. Theoret. Phys., Kyoto.","","0375-9687","N","N","N","N","N"
"Program. Comput. Softw.","Programming and Computer Software","","Pleiades Publishing, Ltd., Road Town.","Translation of Programmirovanie","0361-7688","N","N","N","N","N"
"Programmirovanie","Rossiiskaya Akademiya Nauk. Programmirovanie","","``Nauka'', Moscow.","Translated in Program. Comput. Softw.","0132-3474","N","N","N","N","N"
"Proyecciones","Proyecciones. Journal of Mathematics","","Univ. Catol. Norte, Antofagasta.","","0716-0917","N","Y","N","N","N"
"Pseudo Diff. Oper.","Pseudo-Differential Operators. Theory and Applications","","Birkhauser Verlag, Basel.","","","N","N","Y","N","N"
"Psychometrika","Psychometrika","","Springer, New York.","","0033-3123","N","N","N","N","N"
"Publ. Arch. Henri-Poincare","Publications des Archives Henri-Poincare","Publications of the Henri Poincare Archives","Birkhauser, Basel.","","","N","N","Y","N","N"
"Publ. ICMCS","Publications of the ICMCS","","Int. Cent. Math. Comp. Sci. (ICMCS), Lagos.","","","N","N","Y","N","N"
"Publ. Inst. Math. (Beograd) (N.S.)","Institut Mathematique. Publications. Nouvelle Serie","","Inst. Math., Belgrade.","","0350-1302","N","Y","N","N","N"
"Publ. Mat.","Publicacions Matematiques","","Univ. Autonoma Barcelona, Barcelona.","","0214-1493","N","Y","N","N","N"
"Publ. Mat. IMPA","Publicacoes Matematicas do IMPA","IMPA Mathematical Publications","Inst. Nac. Mat. Pura Apl. (IMPA), Rio de Janeiro.","See also XX Esc. Algebr.","","N","N","Y","N","N"
"Publ. Mat. Urug.","Publicaciones Matematicas del Uruguay","","Univ. Republica, Montevideo.","","0797-1443","N","Y","N","N","N"
"Publ. Math. Besancon Algebre Theorie Nr.","Publications Mathematiques de Besancon. Algebre et Theorie des Nombres","Mathematical Publications of Besancon, Algebra and Number Theory","Lab. Math. Besancon, Besancon.","","1958-7236","N","N","Y","N","N"
"Publ. Math. Debrecen","Publicationes Mathematicae Debrecen","","Inst. Math. Univ. Debrecen, Debrecen.","","0033-3883","N","Y","N","N","N"
"Publ. Math. Inst. Hautes Etudes Sci.","Publications Mathematiques. Institut de Hautes Etudes Scientifiques","","Springer, Berlin.","","0073-8301","N","Y","N","N","N"
"Publ. Math. Univ. Franche-Comte Besancon Algebr. Theor. Nr.","Publications Mathematiques de l'Universite de Franche-Comte Besancon. Algebre et Theorie des Nombres","Mathematical Publications of the University of Franche-Comte at Besancon. Algebra and Number Theory","Lab. Math. Besancon, Besancon.","","1763-0398","N","N","Y","N","N"
"Publ. Newton Inst.","Publications of the Newton Institute","","Cambridge Univ. Press, Cambridge.","","","N","N","Y","N","N"
"Publ. R. Soc. Mat. Esp.","Publicaciones de la Real Sociedad Matematica Espanola","Publications of the Real Sociedad Matematica Espanola","R. Soc. Mat. Esp., Madrid.","","","N","N","Y","N","N"
"Publ. Res. Inst. Math. Sci.","Publications of the Research Institute for Mathematical Sciences","","Eur. Math. Soc., Zurich.","","0034-5318","N","Y","N","N","N"
"Punjab Univ. J. Math. (Lahore)","The Punjab University. Journal of Mathematics","","Univ. Punjab, Lahore.","","1016-2526","N","Y","N","N","N"
"Pure Appl. Math. (Amst.)","Pure and Applied Mathematics (Amsterdam)","","Elsevier/Academic Press, Amsterdam.","","0079-8169","N","N","Y","N","N"
"Pure Appl. Math. (Boca Raton)","Pure and Applied Mathematics (Boca Raton)","","CRC Press, Boca Raton, FL.","","","N","N","Y","N","N"
"Pure Appl. Math. (Hoboken)","Pure and Applied Mathematics (Hoboken)","","Wiley, Hoboken, NJ.","","","N","N","Y","N","N"
"Pure Appl. Math. Q.","Pure and Applied Mathematics Quarterly","","Int. Press, Somerville, MA.","","1558-8599","N","Y","N","N","N"
"Pure Appl. Math. Sci.","Pure and Applied Mathematika Sciences","","Math. Sci. Soc., Saharanpur.","","0379-3168","N","N","N","N","N"
"Pure Appl. Math. (Xi'an)","Pure and Applied Mathematics. Chuncui Shuxue yu Yingyong Shuxue","","Pure Appl. Math., Editor. Board, Xi'an.","","1008-5513","N","Y","N","N","N"
"Pure Math. Appl. (PU.M.A.)","Pure Mathematics and Applications. PU.M.A.","","Corvinus University of Budapest, Budapest.","","1218-4586","N","Y","N","N","N"
"Q. J. Math.","The Quarterly Journal of Mathematics","","Oxford Univ. Press, Oxford.","","0033-5606","N","Y","N","N","N"
"Qatar Univ. Sci. J.","Qatar University Science Journal","","Univ. Qatar, Doha.","","1023-8948","N","N","N","N","N"
"Qinghua Daxue Xuebao","","","","See J. Tsinghua Univ.","","N","N","N","N","N"
"QP--PQ: Quantum Probab. White Noise Anal.","QP--PQ: Quantum Probability and White Noise Analysis","","World Sci. Publ., Hackensack, NJ.","","1793-5121","N","N","Y","N","N"
"Quad. Accad. Pontaniana","Quaderni dell' Accademia Pontaniana","Notebooks of the Accademia Pontaniana","Accad. Pontaniana, Naples.","","","N","N","Y","N","N"
"Quad. Accad. Sci. Torino","Quaderni. Accademia delle Scienze di Torino","","Accad. Sci. Torino, Turin.","","1125-0402","N","N","N","N","N"
"Quad. Filos. Cienc.","Quaderns de Filosofia i Ciencia","","Soc. Filos. Pais Valencia, Valencia.","","0213-5965","N","N","N","N","N"
"Quad. Mat.","Quaderni di Matematica","Mathematics Series","Dept. Math., Seconda Univ. Napoli, Caserta.","","","N","N","Y","N","N"
"Quad. Monogr.","Quaderni. Monographs","","Ed. Norm., Pisa.","Formerly Quad. Sc. Norm. Super. di Pisa (N. S.)","","Y","N","Y","N","N"
"Quad. Rinascim.","Quaderni di Rinascimento","Renaissance Series","Olschki, Florence.","","0394-4387","N","N","Y","N","N"
"Quad. Sc. Norm. Super. di Pisa (N.S.)","Quaderni. Scuola Normale Superiore di Pisa (Nuova Serie)","Publications. Scuola Normale Superiore di Pisa (New Series)","Ed. Norm., Pisa.","Continued as Quad. Monogr.","","N","N","Y","N","N"
"Quaest. Math.","Quaestiones Mathematicae. Journal of the South African Mathematical Society","","NISC, Grahamstown.","","1607-3606","N","Y","N","N","N"
"Qual. Theory Dyn. Syst.","Qualitative Theory of Dynamical Systems","","Birkhauser, Basel.","","1575-5460","N","Y","N","N","N"
"Quant. Finance","Quantitative Finance","","Routledge Journals, Taylor & Francis, Ltd., Abingdon.","","1469-7688","N","N","N","N","N"
"Quantum Inf. Comput.","Quantum Information & Computation","","Rinton Press, Inc., Paramus, NJ.","","1533-7146","N","N","N","N","N"
"Quantum Inf. Process.","Quantum Information Processing","","Springer, Dordrecht.","","1570-0755","N","N","N","N","N"
"Quantum Topol.","Quantum Topology","","Eur. Math. Soc., Zurich.","","1663-487X","N","Y","N","N","N"
"Quart. Appl. Math.","Quarterly of Applied Mathematics","","Brown Univ., Div. Appl. Math., Providence, RI.","","0033-569X","N","Y","N","N","N"
"Quart. J. Mech. Appl. Math.","The Quarterly Journal of Mechanics and Applied Mathematics","","Oxford Univ. Press, Oxford.","","0033-5614","N","N","N","N","N"
"Quasigroups Related Systems","Quasigroups and Related Systems","","Acad. Sci. Moldova, Inst. Math., Chisinau.","","1561-2848","N","Y","N","N","N"
"Queen's Papers in Pure and Appl. Math.","Queen's Papers in Pure and Applied Mathematics","","Queen's Univ., Kingston, ON.","","","N","N","Y","N","N"
"Questions Answers Gen. Topology","Questions and Answers in General Topology","","Sympos. Gen. Topology, Joetsu.","","0918-4732","N","Y","N","N","N"
"Queueing Syst.","Queueing Systems. Theory and Applications","","Springer, Dordrecht.","","0257-0130","N","Y","N","N","N"
"R. Astron. Soc. Ser.","Royal Astronomical Society Series","","Royal Astronomical Society, London.","","","Y","N","Y","N","N"
"Rad Hrvat. Akad. Znan. Umjet. Mat. Znan.","Rad Hrvatske Akademije Znanosti i Umjetnosti. Matematicke Znanosti","","Hrvat. Akad. Znan. Umjet., Zagreb.","","1845-4100","N","Y","N","N","N"
"Radon Ser. Comput. Appl. Math.","Radon Series on Computational and Applied Mathematics","","Walter de Gruyter, Berlin.","","1865-3707","N","N","Y","N","N"
"RAIRO Oper. Res.","RAIRO Operations Research","","EDP Sci., Les Ulis.","","0399-0559","N","N","N","N","N"
"RAIRO Theor. Inform. Appl.","RAIRO Theoretical Informatics and Applications. Informatique Theorique et Applications","","EDP Sci., Les Ulis.","","0988-3754","N","Y","N","N","N"
"Ramanujan J.","Ramanujan Journal. An International Journal Devoted to the Areas of Mathematics Influenced by Ramanujan","","Springer, Secaucus, NJ.","","1382-4090","N","Y","N","N","N"
"Ramanujan Math. Soc. Collect. Works Ser.","Ramanujan Mathematical Society Collected Works Series","","Ramanujan Math. Soc., Mysore.","","","N","N","Y","N","N"
"Ramanujan Math. Soc. Lect. Notes Ser.","Ramanujan Mathematical Society Lecture Notes Series","","Ramanujan Math. Soc., Mysore.","","","N","N","Y","N","N"
"Ranchi Univ. Math. J.","Ranchi University Mathematical Journal","","Ranchi Univ., Ranchi.","","0079-9602","N","N","N","N","N"
"Random Oper. Stoch. Equ.","Random Operators and Stochastic Equations","","De Gruyter, Berlin.","","0926-6364","N","Y","N","N","N"
"Random Structures Algorithms","Random Structures & Algorithms","","Wiley, Hoboken, NJ.","","1042-9832","N","Y","N","N","N"
"Real Anal. Exchange","Real Analysis Exchange","","Michigan State Univ. Press, East Lansing, MI.","","0147-1937","N","Y","N","N","N"
"Recent Adv. Biol. Biomed.","Recent Advances in Biology and Biomedicine","","WSEAS Press, Athens.","","1790-5125","N","N","Y","N","N"
"Recent Adv. Comput. Eng.","Recent Advances in Computer Engineering","","WSEAS Press, Athens.","","1790-5109","N","N","Y","N","N"
"Recent Adv. Electr. Eng.","Recent Advances in Electrical Engineering","","WSEAS Press, Athens.","","1790-5117","N","N","Y","N","N"
"Regul. Chaotic Dyn.","Regular and Chaotic Dynamics. International Scientific Journal","","MAIK Nauka/Interperiod. Publ., Moscow.","","1560-3547","N","Y","N","N","N"
"Reliab. Comput.","Reliable Computing. An International Journal Devoted to Reliable Mathematical Computations Based on Finite Representations and Guaranteed Accuracy","","Springer, Dordrecht.","Continued as Reliab. Comput.","1385-3139","N","N","N","N","N"
"Reliab. Comput.","Reliable Computing","","Reliab. Comput., Lafayette, LA.","Formerly Reliab. Comput.","1573-1340","Y","N","N","N","N"
"Rend. Accad. Naz. Sci. XL Mem. Mat. Appl. (5)","Accademia Nazionale delle Scienze detta dei XL. Rendiconti. Serie V. Memorie di Matematica e Applicazioni. Parte I","","Accad. Naz. Sci. XL, Rome.","","0392-4106","N","Y","N","N","N"
"Rend. Accad. Sci. Fis. Mat. Napoli (4)","Societa Nazionale di Scienze, Lettere e Arti in Napoli. Rendiconto dell'Accademia delle Scienze Fisiche e Matematiche. Serie IV","","Liguori, Naples.","","0370-3568","N","N","N","N","N"
"Rend. Circ. Mat. Palermo (2)","Rendiconti del Circolo Matematico di Palermo. Second Series","","Springer Italia, Milan.","","0009-725X","N","Y","N","N","N"
"Rend. Circ. Mat. Palermo (2) Suppl.","Rendiconti del Circolo Matematico di Palermo. Serie II. Supplemento","","Circ. Mat. Palermo, Palermo.","","","N","Y","N","N","N"
"Rend. Cl. Sci. Mat. Nat.","Rendiconti. Classe di Scienze Matematiche e Naturali","","LED--Ed. Univ. Lett. Econ. Diritto, Milan.","","1974-6989","N","N","N","N","N"
"Rend. Istit. Mat. Univ. Trieste","Rendiconti dell'Istituto di Matematica dell'Universita di Trieste. An International Journal of Mathematics","","Univ. Studi Trieste, Dip. Mat. Inform., Trieste.","","0049-4704","N","Y","N","N","N"
"Rend. Mat. Appl. (7)","Rendiconti di Matematica e delle sue Applicazioni. Serie VII","","Univ. Studi Roma ``La Sapienza'', Rome.","","1120-7183","N","Y","N","N","N"
"Rend. Sem. Fac. Sci. Univ. Cagliari","Rendiconti del Seminario della Facolta di Scienze dell'Universita di Cagliari","","Univ. Cagliari, Monserrato.","","0370-727X","N","N","N","N","N"
"Rend. Sem. Mat. Messina Ser. II","Rendiconti del Seminario Matematico di Messina. Serie II","","Univ. Studi Messina, Messina.","","","N","Y","N","N","N"
"Rend. Semin. Mat. Univ. Padova","Rendiconti del Seminario Matematico della Universita di Padova. Mathematical Journal of the University of Padua","","Libreria Internazionale Cortina, Padua.","","0041-8994","N","Y","N","N","N"
"Rend. Semin. Mat. Univ. Politec. Torino","Rendiconti del Seminario Matematico. Universita e Politecnico Torino","","Univ. Torino, Turin.","","0373-1243","N","Y","N","N","N"
"Rep. Enlarged Sess. Semin. I. Vekua Appl. Math.","Reports of Enlarged Sessions of Seminar of I. Vekua Institute of Applied Mathematics","","Tbilisi Univ. Press, Tbilisi.","","1512-0066","N","N","N","N","N"
"Rep. Fac. Sci. Kagoshima Univ.","Reports of the Faculty of Science. Kagoshima University","","Kagoshima Univ., Kagoshima.","","1345-6938","N","N","N","N","N"
"Rep. Fac. Sci. Shizuoka Univ.","Reports of the Faculty of Science. Shizuoka University","","Shizuoka Univ., Shizuoka.","","0583-0923","N","N","N","N","N"
"Rep. Math. Logic","Reports on Mathematical Logic","","Jagiellonian Univ., Editors of RML, Krakow.","","0137-2904","N","Y","N","N","N"
